Freq.	V(n003)
1.00000000000000e+000	(-1.86713084074248e-011dB,-1.18799999999833e-004°)
1.00069338746258e+000	(-1.86973452490218e-011dB,-1.18882374430384e-004°)
1.00138725571133e+000	(-1.87243464180854e-011dB,-1.18964805978336e-004°)
1.00208160507963e+000	(-1.87503832596824e-011dB,-1.19047294683286e-004°)
1.00277643590108e+000	(-1.87764201012793e-011dB,-1.19129840584876e-004°)
1.00347174850950e+000	(-1.88005282879432e-011dB,-1.19212443722757e-004°)
1.00416754323897e+000	(-1.88284937844733e-011dB,-1.19295104136618e-004°)
1.00486382042379e+000	(-1.88535662986038e-011dB,-1.19377821866170e-004°)
1.00556058039847e+000	(-1.88786388127342e-011dB,-1.19460596951162e-004°)
1.00625782349778e+000	(-1.89066043092643e-011dB,-1.19543429431363e-004°)
1.00695555005672e+000	(-1.89316768233948e-011dB,-1.19626319346565e-004°)
1.00765376041051e+000	(-1.89596423199249e-011dB,-1.19709266736597e-004°)
1.00835245489460e+000	(-1.89856791615219e-011dB,-1.19792271641300e-004°)
1.00905163384468e+000	(-1.90097873481858e-011dB,-1.19875334100573e-004°)
1.00975129759669e+000	(-1.90367885172493e-011dB,-1.19958454154311e-004°)
1.01045144648677e+000	(-1.90647540137794e-011dB,-1.20041631842449e-004°)
1.01115208085131e+000	(-1.90907908553764e-011dB,-1.20124867204959e-004°)
1.01185320102693e+000	(-1.91168276969734e-011dB,-1.20208160281823e-004°)
1.01255480735050e+000	(-1.91447931935035e-011dB,-1.20291511113062e-004°)
1.01325690015909e+000	(-1.91689013801674e-011dB,-1.20374919738723e-004°)
1.01395947979003e+000	(-1.91959025492309e-011dB,-1.20458386198878e-004°)
1.01466254658088e+000	(-1.92229037182945e-011dB,-1.20541910533631e-004°)
1.01536610086943e+000	(-1.92489405598915e-011dB,-1.20625492783107e-004°)
1.01607014299370e+000	(-1.92778703838882e-011dB,-1.20709132987473e-004°)
1.01677467329196e+000	(-1.93029428980186e-011dB,-1.20792831186906e-004°)
1.01747969210269e+000	(-1.93318727220153e-011dB,-1.20876587421620e-004°)
1.01818519976462e+000	(-1.93569452361457e-011dB,-1.20960401731858e-004°)
1.01889119661673e+000	(-1.93829820777427e-011dB,-1.21044274157890e-004°)
1.01959768299819e+000	(-1.94109475742728e-011dB,-1.21128204740005e-004°)
1.02030465924846e+000	(-1.94398773982695e-011dB,-1.21212193518536e-004°)
1.02101212570720e+000	(-1.94649499123999e-011dB,-1.21296240533831e-004°)
1.02172008271430e+000	(-1.94919510814635e-011dB,-1.21380345826278e-004°)
1.02242853060993e+000	(-1.95170235955939e-011dB,-1.21464509436274e-004°)
1.02313746973444e+000	(-1.95449890921240e-011dB,-1.21548731404269e-004°)
1.02384690042845e+000	(-1.95719902611876e-011dB,-1.21633011770720e-004°)
1.02455682303281e+000	(-1.95999557577177e-011dB,-1.21717350576117e-004°)
1.02526723788860e+000	(-1.96288855817143e-011dB,-1.21801747860985e-004°)
1.02597814533714e+000	(-1.96549224233113e-011dB,-1.21886203665869e-004°)
1.02668954572000e+000	(-1.96809592649083e-011dB,-1.21970718031352e-004°)
1.02740143937897e+000	(-1.97069961065053e-011dB,-1.22055290998037e-004°)
1.02811382665607e+000	(-1.97349616030354e-011dB,-1.22139922606553e-004°)
1.02882670789358e+000	(-1.97638914270321e-011dB,-1.22224612897572e-004°)
1.02954008343400e+000	(-1.97908925960957e-011dB,-1.22309361911774e-004°)
1.03025395362008e+000	(-1.98188580926258e-011dB,-1.22394169689879e-004°)
1.03096831879479e+000	(-1.98468235891559e-011dB,-1.22479036272632e-004°)
1.03168317930136e+000	(-1.98728604307529e-011dB,-1.22563961700818e-004°)
1.03239853548325e+000	(-1.99017902547495e-011dB,-1.22648946015222e-004°)
1.03311438768414e+000	(-1.99278270963465e-011dB,-1.22733989256688e-004°)
1.03383073624797e+000	(-1.99548282654101e-011dB,-1.22819091466071e-004°)
1.03454758151891e+000	(-1.99827937619402e-011dB,-1.22904252684255e-004°)
1.03526492384138e+000	(-2.00117235859369e-011dB,-1.22989472952167e-004°)
1.03598276356002e+000	(-2.00416177374001e-011dB,-1.23074752310742e-004°)
1.03670110101973e+000	(-2.00657259240640e-011dB,-1.23160090800954e-004°)
1.03741993656562e+000	(-2.00946557480606e-011dB,-1.23245488463805e-004°)
1.03813927054306e+000	(-2.01216569171242e-011dB,-1.23330945340325e-004°)
1.03885910329767e+000	(-2.01515510685874e-011dB,-1.23416461471572e-004°)
1.03957943517528e+000	(-2.01785522376510e-011dB,-1.23502036898633e-004°)
1.04030026652199e+000	(-2.02065177341811e-011dB,-1.23587671662621e-004°)
1.04102159768412e+000	(-2.02344832307112e-011dB,-1.23673365804678e-004°)
1.04174342900823e+000	(-2.02634130547079e-011dB,-1.23759119365985e-004°)
1.04246576084113e+000	(-2.02913785512380e-011dB,-1.23844932387736e-004°)
1.04318859352986e+000	(-2.03193440477681e-011dB,-1.23930804911155e-004°)
1.04391192742173e+000	(-2.03482738717647e-011dB,-1.24016736977507e-004°)
1.04463576286424e+000	(-2.03752750408283e-011dB,-1.24102728628074e-004°)
1.04536010020517e+000	(-2.04042048648250e-011dB,-1.24188779904180e-004°)
1.04608493979254e+000	(-2.04331346888216e-011dB,-1.24274890847158e-004°)
1.04681028197458e+000	(-2.04591715304186e-011dB,-1.24361061498385e-004°)
1.04753612709981e+000	(-2.04890656818819e-011dB,-1.24447291899264e-004°)
1.04826247551694e+000	(-2.05170311784120e-011dB,-1.24533582091216e-004°)
1.04898932757495e+000	(-2.05459610024086e-011dB,-1.24619932115708e-004°)
1.04971668362308e+000	(-2.05729621714722e-011dB,-1.24706342014224e-004°)
1.05044454401076e+000	(-2.06018919954689e-011dB,-1.24792811828281e-004°)
1.05117290908771e+000	(-2.06308218194655e-011dB,-1.24879341599426e-004°)
1.05190177920388e+000	(-2.06587873159956e-011dB,-1.24965931369223e-004°)
1.05263115470945e+000	(-2.06896457949254e-011dB,-1.25052581179284e-004°)
1.05336103595484e+000	(-2.07185756189221e-011dB,-1.25139291071237e-004°)
1.05409142329075e+000	(-2.07446124605191e-011dB,-1.25226061086741e-004°)
1.05482231706807e+000	(-2.07754709394489e-011dB,-1.25312891267487e-004°)
1.05555371763798e+000	(-2.08034364359790e-011dB,-1.25399781655191e-004°)
1.05628562535187e+000	(-2.08314019325091e-011dB,-1.25486732291601e-004°)
1.05701804056139e+000	(-2.08612960839723e-011dB,-1.25573743218495e-004°)
1.05775096361844e+000	(-2.08911902354355e-011dB,-1.25660814477669e-004°)
1.05848439487514e+000	(-2.09201200594322e-011dB,-1.25747946110965e-004°)
1.05921833468389e+000	(-2.09471212284958e-011dB,-1.25835138160243e-004°)
1.05995278339729e+000	(-2.09760510524924e-011dB,-1.25922390667396e-004°)
1.06068774136823e+000	(-2.10059452039557e-011dB,-1.26009703674342e-004°)
1.06142320894980e+000	(-2.10377680103520e-011dB,-1.26097077223033e-004°)
1.06215918649538e+000	(-2.10657335068821e-011dB,-1.26184511355447e-004°)
1.06289567435856e+000	(-2.10936990034122e-011dB,-1.26272006113596e-004°)
1.06363267289320e+000	(-2.11216644999423e-011dB,-1.26359561539507e-004°)
1.06437018245337e+000	(-2.11525229788721e-011dB,-1.26447177675255e-004°)
1.06510820339343e+000	(-2.11804884754022e-011dB,-1.26534854562934e-004°)
1.06584673606795e+000	(-2.12123112817986e-011dB,-1.26622592244667e-004°)
1.06658578083178e+000	(-2.12412411057952e-011dB,-1.26710390762608e-004°)
1.06732533803997e+000	(-2.12701709297919e-011dB,-1.26798250158938e-004°)
1.06806540804786e+000	(-2.13000650812551e-011dB,-1.26886170475876e-004°)
1.06880599121102e+000	(-2.13289949052518e-011dB,-1.26974151755661e-004°)
1.06954708788526e+000	(-2.13588890567150e-011dB,-1.27062194040557e-004°)
1.07028869842664e+000	(-2.13887832081782e-011dB,-1.27150297372876e-004°)
1.07103082319147e+000	(-2.14177130321749e-011dB,-1.27238461794934e-004°)
1.07177346253630e+000	(-2.14485715111047e-011dB,-1.27326687349100e-004°)
1.07251661681795e+000	(-2.14775013351014e-011dB,-1.27414974077763e-004°)
1.07326028639347e+000	(-2.15083598140311e-011dB,-1.27503322023333e-004°)
